"","artist","title","sales_price","sold_dummy","low_estimate","high_estimate","signiture","height","width","surface","created","medium","auction_lot","auction_date","auction_location"
"2351","Shaobin Yang","BLUE ROOM NO.16",17720,1,15470,23200,"Signed and Titled",195,217,42315,"2009-2010","Oil / Canvas","859","10/3/16","0"
"2352","Tiehai Zhou","EGO PROJECT: THOMAS RUFF",8060,1,12890,25780,"Signed and Dated",240,180.5,43320,"2006","acrylic airbrush / Canvas","860","10/3/16","0"
"2353","Yin Xiuzhen","PORTABLE CITY SERIES (URUMACHI, JIUQUAN, AMSTERDAM AND AMSTERVEEN)",25780,1,23200,32230,NA,NA,NA,NA,"2007-2008","suitcase, used clothes, map, and light bulbs","861","10/3/16","0"
"2354","Tomoo Gokita","DIVORCE",112790,1,48980,58010,"Signed and Titled",259.4,194.4,50427.36,"2008","Gouache and acrylic / Canvas","602","10/3/16","0"
"2355","Jonas Wood","UNTITLED (RED AND PINK ON TAN)",474350,1,128900,193350,"Signed and Dated",190.5,122,23241,"2009","Oil / Linen","604","10/3/16","0"
"2356","Jonas Wood","UNTITLED (BIG YELLOW DOT)",209460,1,128900,193350,"Signed and Dated",188,132,24816,"2009","Oil / Linen","605","10/3/16","0"
"2357","Ufan Lee","WITH WINDS",1402430,1,837850,1095650,"Signed and Dated",218,291,63438,"1988","Acrylic and mineral pigment / Canvas","607","10/3/16","0"
"2358","Jeff Elrod","ICE AGE",193350,1,154680,206240,"Signed and Dated",228.6,164.7,37650.42,"2013","Acrylic and UV ink / Canvas","611","10/3/16","0"
"2359","Kim Whanki","FLIGHT",551690,1,451150,708950,"Signed",62.9,92.7,5830.83,"1963-65","Oil / Canvas","612","10/3/16","0"
"2360","Sanghwa Chung","UNTITLED 97-3-26",830120,1,773400,1031200,"Signed and Dated",194,259,50246,"1997","Acrylic / Canvas","615","10/3/16","0"
"2361","Gerhard Richter","ABSTRAKTES BILD",1557110,1,1031200,1546800,"Signed and Dated",50,45,2250,"1998","Oil / Canvas","616","10/3/16","0"
"2362","George Condo","THE HOUSEKEEPER'S DIARY",NA,0,257800,386700,"Signed and Dated",134.6,116.8,15721.28,"2007","Acrylic and charcoal / Canvas","617","10/3/16","0"
"2363","Makoto Saito","SNOW B.B. (NO. 20130301)",412480,1,180460,257800,"Signed and Dated",189.5,178.5,33825.75,"2013","Oil / Canvas","619","10/3/16","0"
"2364","Naoki Tomita","VIEW (T.O.P)",29000,1,7730,10310,NA,162,162,26244,"2016","Oil / Canvas","620","10/3/16","0"
"2365","Jean-Michel Basquiat","INFANTRY",6017050,1,3867000,5156000,"Signed and Titled",165,230.5,38032.5,"1983","Acrylic / Canvas","623","10/3/16","0"
"2366","Kohei Nawa","TRANS PROJECT IN COLLABORATION WITH T.O.P",153070,1,77340,103120,NA,NA,NA,NA,NA,"Glass and plastic figure","627","10/3/16","0"
"2367","Jina Park","SECTION J",22560,1,7730,10310,"Signed and Dated",162,135.1,21886.2,"2014","Oil / Canvas","628","10/3/16","0"
"2368","Wou-Ki Zao","PAYSAGE DANS LA LUNE",6017050,1,5160,7730,"Signed and Dated",117,88.5,10354.5,"1955","Oil / Canvas","1017","10/2/16","0"
"2369","Wou-Ki Zao","AILLEURS",4862110,1,3222500,4511500,"Signed and Dated",130,97,12610,"1955","Oil / Canvas","1018","10/2/16","0"
"2370","Wou-Ki Zao","20.12.85",2253170,1,1546800,2578000,"Signed",195,130,25350,NA,"Oil / Canvas","1019","10/2/16","0"
"2371","Chang Yu Sanyu","NU",783710,1,360920,644500,"Signed",31,23,713,NA,"Oil / Masonite","1020","10/2/16","0"
"2372","Dayu Wu","UNTITLED 24",629030,1,515600,773400,NA,44.8,32.5,1456,NA,"Oil / Canvas","1021","10/2/16","0"
"2373","Dayu Wu","UNTITLED 12",1402430,1,644500,1031200,NA,52.5,38,1995,NA,"Oil / Canvas","1022","10/2/16","0"
"2374","Teh-Chun Chu","1977.9.27",474350,1,386700,515600,"Signed and Dated",92,65,5980,"1977","Oil / Canvas","1023","10/2/16","0"
"2375","Guanzhong Wu","THE HOMETOWN OF LU XUN",5150840,1,3867000,6445000,"Signed Lower Right",46,61,2806,"1977","Oil / Board","1024","10/2/16","0"
"2376","Huaiqing Wang","SIX TABLES",1216820,1,644500,902300,"Signed",131,146.2,19152.2,"1993","Oil / Canvas","1025","10/2/16","0"
"2377","Yidong Wang","THE BRIDE",659970,1,515600,773400,"Signed and Dated",155,103,15965,"1992","Oil / Canvas","1026","10/2/16","0"
"2378","De-Jinn Shiy","YOUNG GIRL",706370,1,154680,257800,"Signed and Dated",91,65,5915,"1960","Oil / Canvas","1027","10/2/16","0"
"2379","Ming Ju","TAICHI BOXING (2)",752780,1,451150,580050,NA,NA,NA,NA,NA,"Wood","1028","10/2/16","0"
"2380","Teh-Chun Chu","AUX SOURCES DE LA NUIT",938390,1,773400,1031200,"Signed and Dated",194,129,25026,"2004","Oil / Canvas","1031","10/2/16","0"
"2381","Adrien Jean Le Mayeur de Merpres","SOUS LA TENTE ? ST. TROPEZ",350610,1,206240,322250,"Signed",90.5,110,9955,NA,"Oil / Canvas","1032","10/2/16","0"
"2382","Adrien Jean Le Mayeur de Merpres","BALINESE BEAUTIES PREPARING AN OFFERING",505290,1,386700,644500,"Signed",75,91,6825,NA,"Oil / Canvas","1033","10/2/16","0"
"2383","Kusama Affandi","BOROBUDUR AND THE SUN",1263220,1,580050,876520,"Signed and Dated",149.5,195,29152.5,"1984","Oil / Canvas","1034","10/2/16","0"
"2384","Kusama Affandi","BALINESE GIRL WITH PIGLET",505290,1,232020,322250,"Signed and Dated",130,95,12350,"1964","Oil / Canvas","1035","10/2/16","0"
"2385","Kusama Affandi","RECLINING NUDE",598100,1,386700,644500,"Signed and Dated",97,130,12610,"1966","Oil / Canvas","1036","10/2/16","0"
"2386","Kusama Affandi","DOGS FIGHTING",209460,1,154680,322250,"Signed and Dated",107,138,14766,"1964","Oil / Canvas","1037","10/2/16","0"
"2387","Yoshitomo Nara","LIFE IS ONLY ONE!",938390,1,773400,1031200,NA,169,254,42926,NA,"Oil / Wood","1038","10/2/16","0"
"2388","Yoshitomo Nara","THERE IS NO PLACE LIKE HOME",1402430,1,837850,1095650,"Signed and Dated",81.5,162,13203,"1995","Acrylic / Canvas","1039","10/2/16","0"
"2389","Yoshitomo Nara","THE LITTLE AMBASSADOR",3103910,1,2062400,3093600,"Signed and Dated",198.1,132.5,26248.25,"2000","Acrylic / Canvas","1040","10/2/16","0"
"2390","Kazuo Shiraga","REIBU",1154940,1,489820,618720,"Signed and Titled",130.8,97.3,12726.84,"1989","Oil / Canvas","1041","10/2/16","0"
"2391","Sadamasa Motonaga","UNTITLED",241690,1,193350,322250,"Signed and Dated",162.2,129.9,21069.78,"1975","Oil and synthetic polymer resin / Canvas","1042","10/2/16","0"
"2392","Kazuo Shiraga","WORK",1866470,1,966750,1224550,"Signed and Dated",116.4,80,9312,"1962","Oil / Canvas","1043","10/2/16","0"
"2393","Atsuko Tanaka","WORK",907460,1,773400,1031200,"Signed and Dated",130.8,97.4,12739.92,"1968","Synthetic polymer paint / Canvas","1044","10/2/16","0"
"2394","Tsuyoshi Maekawa","WORK",350610,1,206240,335140,"Signed and Titled",225.4,177.5,40008.5,NA,"Oil and burlap / Canvas on board","1045","10/2/16","0"
"2395","Toshimitsu Imai","LIGHT OF THE ORIENT",319670,1,128900,257800,"Signed and Dated",180,600,108000,"1970","Oil / Canvas","1046","10/2/16","0"
"2396","Shrihadi Soedarsono","MELASTI PROCESSION THROUGH GOLDEN RICE FIELD",NA,0,257800,386700,"Signed and Dated",200,400,80000,"2015","Oil / Canvas","1047","10/2/16","0"
"2397","Jose Tanig Joya","LOVE RITES",288740,1,232020,360920,"Signed and Dated",182.5,243.5,44438.75,"1979","Oil / Panel","1049","10/2/16","0"
"2398","Soo Pieng Cheong","UNTITLED (CATCHING BUTTERFLIES)",474350,1,322250,451150,"Signed and Dated",93,102.5,9532.5,"1982","Oil / Canvas","1050","10/2/16","0"
"2399","Soo Pieng Cheong","TWO WOMEN WITH FRUITS",NA,0,206240,360920,"Signed and Dated",101.5,81.5,8272.25,"1978","Oil / Canvas","1051","10/2/16","0"
"2400","Liu Ye","KILLING ME SOFTLY",659970,1,386700,644500,"Signed and Dated",90,90,8100,"2002","Acrylic / Canvas","1053","10/2/16","0"
"2401","Liu Ye","REVOLUTIONARY FAMILY SERIES (THREE FIGURES)",1479770,1,1289000,1933500,"Signed and Dated",99.5,99,9850.5,"1991","Oil / Canvas","1054","10/2/16","0"
"2402","Wei Liu","NO SMOKING",1247750,1,1160100,1546800,"Signed and Dated",170,170,28900,"1998","Oil / Canvas","1055","10/2/16","0"
"2403","Xiaodong Liu","SHOWERED IN SUNLIGHT",2330510,1,1933500,2578000,"Signed and Dated",180,195,35100,"1990","Oil / Canvas","1056","10/2/16","0"
"2404","Fanzhi Zeng","SOCIETY NO. 3",2794550,1,1546800,2320200,"Signed and Dated",218.5,144.5,31573.25,"2001","Oil / Canvas","1057","10/2/16","0"
"2405","Fanzhi Zeng","LANDSCAPE",1402430,1,1095650,1933500,"Signed and Dated",214.5,330,70785,"2007","Oil / Canvas","1058","10/2/16","0"
"2406","Xiaogang Zhang","SISTERS AND BROTHERS",1557110,1,1289000,1933500,"Signed and Dated",270.5,370,100085,"2009-10","Oil / Canvas","1059","10/2/16","0"
"2407","Minjun Yue","IMMORTAL CRANES",1866470,1,773400,1031200,"Signed and Dated",200,281,56200,"1997","Oil / Canvas","1060","10/2/16","0"
"2408","Hendra Gunawan","VILLAGE LIFE",845580,1,708950,1095650,"Inscribed and Signed",150,203,30450,"1975","Oil / Canvas","1061","10/2/16","0"
"2409","Manfong Lee","TUKANG SATE DENGAN IBU DAN ANAK LELAKI (SATAY VENDOR WITH MOTHER AND SON)",161130,1,128900,257800,"Inscribed and Signed",60.5,90.5,5475.25,"1953","Oil / Masonite","1062","10/2/16","0"
"2410","Manfong Lee","TELANJANG (NUDE)",96680,1,77340,116010,"Signed and Dated",50,65,3250,"1945","Oil / Canvas","1063","10/2/16","0"
"2411","Manfong Lee","SETELAH MANDI (AFTER THE BATH)",145010,1,77340,116010,"Inscribed and Signed",100,51,5100,"1979","Oil / Masonite","1064","10/2/16","0"
"2412","Yayoi Kusama","INFINITY-NETS (HOWAZ) (QUADRIPTYCH)",2253170,1,1546800,2320200,"Signed and Titled",NA,NA,NA,NA,"Acrylic / Canvas","1065","10/2/16","0"
"2413","Yayoi Kusama","BETWEEN HEAVEN AND EARTH (SET OF FIVE)",1093070,1,966750,1546800,"Signed and Titled",NA,NA,NA,"1987","Soft sculpture on wood","1066","10/2/16","0"
"2414","Yuanwei Liang","PIECE OF LIFE 15",153070,1,116010,193350,"Signed and Titled",179.8,140,25172,"2008","Oil / Canvas","1070","10/2/16","0"
"2415","AY T Joe Christine","WHEN IT IS THE ONLY PATH OF GOING HOME",427950,1,77340,103120,"Signed and Titled",180,200,36000,"2012","Oil / Canvas","1071","10/2/16","0"
"2416","Ronald Ventura","MEETING MYTHS",907460,1,154680,232020,"Signed and Dated",183,275,50325,"2015","Oil / Canvas","1072","10/2/16","0"
"2417","Inyoman Masriadi","PROUD",319670,1,257800,386700,"Signed and Dated",300,200,60000,"2012","Acrylic / Canvas","1073","10/2/16","0"
"2418","Xingwei Wang","UNTITLED",NA,0,193350,322250,"Signed Initials",135.3,163.1,22067.43,"2007","Oil / Canvas","1074","10/2/16","0"
"2419","Enli Zhang","OLD MAN AND BIRD",319670,1,257800,386700,"Signed and Dated",156.4,98.3,15374.12,"1994","Oil / Canvas on board","1075","10/2/16","0"
"2420","Enli Zhang","WOODEN SHELF",NA,0,154680,206240,"Signed and Dated",249.6,200.4,50019.84,"2012","Oil / Canvas","1076","10/2/16","0"
"2421","Ufan Lee","FROM LINE",474350,1,451150,708950,"Signed and Dated",91,116.8,10628.8,"1978","Mineral pigment and glue / Canvas","1077","10/2/16","0"
"2422","Sanghwa Chung","UNTITLED 89-5-16",161130,1,128900,257800,"Signed and Titled",100,81,8100,"1989","Acrylic / Canvas","1078","10/2/16","0"
"2423","Tsuyoshi Maekawa","UNTITLED",9660,1,5150,7730,"Signed and Dated",46,38,1748,"2012","Oil and burlap / Canvas","505","6/23/16","0"
"2424","Georges Mathieu","L'OBSCURIT? ARDENTE",80500,1,33490,45080,"Signed and Titled",97,130,12610,"1990","Oil / Canvas","507","6/23/16","0"
"2425","Sam Lewis Francis","UNTITLED",88550,1,57960,70840,"Signed and Dated",76,56,4256,"1974","Acrylic / Paper","510","6/23/16","0"
"2426","Wou-Ki Zao","06.03.63",551260,1,515200,772800,"Signed and Dated",65,100,6500,"1963","Oil / Canvas","511","6/23/16","0"
"2427","Pierre Soulages","PEINTURE 92 X 65 CM, 1955",968580,1,579600,837200,"Signed and Dated",92,65,5980,"1955","Oil / Canvas","512","6/23/16","0"
"2428","Sam Lewis Francis","FALLER (UNTITLED)",99820,1,79860,90160,"Signed and Dated",55,46.5,2557.5,"1987","Acrylic / Canvas","513","6/23/16","0"
"2429","Georges Mathieu","MYANS",28980,1,23180,32200,"Signed and Dated",60,73,4380,"1969","Oil / Canvas","514","6/23/16","0"
"2430","Teh-Chun Chu","NO. 487",161000,1,154560,231840,"Signed and Titled",55,46,2530,"1973","Oil / Canvas","518","6/23/16","0"
"2431","Sam Lewis Francis","SELF-PORTRAIT",NA,0,57960,70840,"Signed and Titled",104.4,75.2,7850.88,"1985","Acrylic / Paper","519","6/23/16","0"
"2432","Yayoi Kusama","FIRE",88550,1,45080,70840,"Signed and Dated",45,37,1665,"1990","Acrylic / Canvas","520","6/23/16","0"
"2433","Ufan Lee","FROM LINE NO.78067",177100,1,115920,154560,"Signed and Dated",46,53,2438,"1978","Oil and mineral pigment / Canvas","520A","6/23/16","0"
"2434","KAWS","NYT",128800,1,115920,154560,"Signed and Dated",101.9,101.9,10383.61,"2012","Acrylic / Canvas","523","6/23/16","0"
"2435","Nam June Paik","ROBOT (2 parts)",77280,1,64400,90160,"Signed and Dated",NA,NA,NA,"1993","Acrylic and metal, trilby hat, two antique cameras, antique radio body, lanterns, lights, Sony Watchman, Sony tv/radio, and wood","524","6/23/16","0"
"2436","Keith Haring","UNTITLED",96600,1,57960,83720,NA,60.3,76.2,4594.86,"1981","Spray paint on plywood","525","6/23/16","0"
"2437","Andre Brasilier","CORRIDA PORTUGAISE",25760,1,12880,19320,"Signed and Titled",53.2,72.5,3857,"1982","Oil / Canvas","540","6/23/16","0"
"2438","Andre Brasilier","DIMANCHE AUX COURSES",48300,1,36060,45080,"Signed and Dated",97,130.2,12629.4,"1963","Oil / Canvas","541","6/23/16","0"
"2439","Max Ernst","LE CHANT DE LA GRENOUILLE",NA,0,154560,231840,"Signed and Dated",19,24,456,"1934","Oil / Canvas","542","6/23/16","0"
"2440","Walasse Ting","FOUR FISH WITH SCALES",11270,1,9020,11590,"Artist's Seal",55.9,96.5,5394.35,"1999","Acrylic / Paper","543","6/23/16","0"
"2441","Walasse Ting","I. GIRL WITH FLOWERS AND FRUIT; II. TWO GIRLS WITH FLOWERS; III. GIRL WITH FLOWER (THREE WORKS)",22540,1,12880,19320,"Artist's Seal",NA,NA,NA,NA,"Acrylic / Paper","545","6/23/16","0"
"2442","Roni Horn","UNTITLED",8050,1,2576,3864,"Signed and Dated",34,29,986,"1986","Powdered pigment and varnish / Paper","556","6/23/16","0"
"2443","Marc Quinn","SUMMIT OF ANNAPURNA",NA,0,128800,193200,"Signed and Dated",169,263,44447,"2010","Oil / Canvas","557","6/23/16","0"
"2444","Victor Vasarely","ZADOR",NA,0,122360,154560,"Signed and Dated",170,160.5,27285,"1965","Oil / Panel","565","6/23/16","0"
"2445","Josh Smith","UNTITLED (JOSH SMITH)",NA,0,12880,19320,"Signed and Dated",152.4,122.8,18714.72,"2006","Oil / Canvas","566","6/23/16","0"
"2446","Jinshi Zhu","THICK STROKES NO. 5",25760,1,12880,19320,"Signed and Dated",120,100,12000,"2008","Oil / Board","567","6/23/16","0"
"2447","Chin Hsiao","PEACE + GLORY",20930,1,19320,25760,"Signed and Dated",88,125,11000,"1975","Acrylic / Canvas","569","6/23/16","0"
"2448","Biao Zhong","DARK LENS",10470,1,6440,9020,"Signed and Dated",130,97.4,12662,"2001","Oil / Canvas","570","6/23/16","0"
"2449","Peng Lu","CAPITAL NIGHT (HUA KAI HUA LUO)",4830,1,6440,9020,"Signed and Dated",130,97,12610,"2000","Oil / Canvas","572","6/23/16","0"
"2450","Biao Zhong","EMBRACE AFTER ONE SECOND",10470,1,6440,9020,"Signed and Dated",130,96.9,12597,"2001","Oil / Canvas","573","6/23/16","0"
"2451","Yoshitomo Nara","DOGGY RADIO X RIMOWA (2 parts)",14490,1,6440,9020,"Inscribed and Signed",NA,NA,NA,"2011","Polymer and fiberglass stereo with FM radio, bluetooth, USB port, headphone jack and Yamaha speaker system; Rimowa suitcase","574","6/23/16","0"
"2452","Damien Hirst","I. MICKEY (BLUE GLITTER); II. MINNIE (PINK GLITTER) (TWO WORKS)",27370,1,10300,19320,"Signed",NA,NA,NA,"2015","Silkscreen print with glitter","576","6/23/16","0"
"2453","Walasse Ting","WOMAN WITH FLOWERS",6450,1,5160,7740,"Stamped",35,49.5,1732.5,NA,"Acrylic / Paper","201","4/4/16","0"
"2454","Walasse Ting","LADY WITH ROSE",6130,1,5160,7740,"Stamped",47,58,2726,NA,"Acrylic / Paper","202","4/4/16","0"
"2455","Walasse Ting","LADY WITH FAN",5160,1,5160,7740,"Stamped",54,48,2592,NA,"Acrylic / Paper","203","4/4/16","0"
"2456","Walasse Ting","TWO PARROTS",5640,1,5160,7740,"Stamped",45,57,2565,NA,"Acrylic / Paper","204","4/4/16","0"
"2457","Gusti Agung Mangu Putra","HUTAN PINUS (PINE FOREST)",29030,1,18060,28380,"Signed and Dated",209,209,43681,"2015","Oil / Canvas","205","4/4/16","0"
"2458","Jumaldi Alfi","LIVING THE PAST #04",NA,0,19350,32250,"Signed and Dated",140,170,23800,"2006","Acrylic / Canvas","206","4/4/16","0"
"2459","M Irfan","THIS CHARMING MAN",NA,0,16130,23870,"Signed and Dated",225,180,40500,"2015","Acrylic / Canvas","207","4/4/16","0"
"2460","Raduan Man","MEMORIES 1",5640,1,5160,7740,"Signed and Titled",182.5,182.5,33306.25,"2014","Oil / Canvas","211","4/4/16","0"
"2461","Rafiee Ghani","THE ORIGINAL SIN",10480,1,6450,9030,"Signed and Titled",152.5,121.5,18528.75,"2016","Oil / Canvas","212","4/4/16","0"
"2462","Jigger Cruz","THE FALL OF MY STARRY STARRY NIGHT",96750,1,16130,23870,"Signed and Dated",122,183,22326,"2015","Oil / Canvas","213","4/4/16","0"
"2463","Geraldine Javier","SNOW (2 parts)",72560,1,32250,45150,NA,NA,NA,NA,"2010","Oil / Canvas","214","4/4/16","0"
"2464","Natee Utarit","OPTIMISM IS RIDICULOUS",NA,0,77400,103200,"Signed and Titled",200,100,20000,"2012","Oil / Linen","215","4/4/16","0"
"2465","Walasse Ting","CATS",11290,1,8390,11610,"Stamped",61.5,88,5412,NA,"Acrylic / Paper","216","4/4/16","0"
"2466","Nguyen van Trung","MORNING IN AUTUMN",13710,1,5160,7740,"Signed and Dated",130,100,13000,"2009","Oil / Canvas","217","4/4/16","0"
"2467","Do Quang Em","STILL LIFE",12090,1,6450,9030,"Signed and Dated",65.5,76.5,5010.75,"2006","Oil / Canvas","218","4/4/16","0"
"2468","Walasse Ting","TWO BEAUTIES WITH FANS",64500,1,51600,64500,"Stamped",178.5,96,17136,NA,"Acrylic / Paper","219","4/4/16","0"
"2469","Walasse Ting","TELL ME WHAT I DID WRONG?",NA,0,58050,83850,"Signed and Titled",71,97,6887,"1974","Acrylic / Canvas","220","4/4/16","0"
"2470","Walasse Ting","FLOATING FLOWERS",161250,1,96750,122550,"Signed and Titled",145,178,25810,"1968","Acrylic / Canvas","221","4/4/16","0"
"2471","Ahmad Zakii Anwar","MANTRA",NA,0,6450,9030,"Signed",65,200,13000,NA,"Acrylic / Canvas","222","4/4/16","0"
"2472","Putu Sutawijaya","TOUR THE TEMPLE",14510,1,12900,19350,"Signed and Titled",120,140,16800,"2015","Oil / Canvas","224","4/4/16","0"
"2473","Eko Nugroho","THE WORLD WORDS SERIES (RELIGION AS WEAPON)",NA,0,12900,19350,"Signed and Dated",148,96,14208,"2012","Machine embroidered rayon thread on fabric backing","225","4/4/16","0"
"2474","Paulo Vinluan","(I) GAG REFLEX (II) (AFTER GOYAS' THE DISASTERS OF WAR PLATE 78: HE DEPENDS HIMSELF WELL) (2)",4192,1,2580,3870,NA,NA,NA,NA,NA,"Acrylic / Canvas","226","4/4/16","0"
"2475","Ronald Ventura","HUNTING GROUND (INTO THE WOODS)",443760,1,96750,122550,"Signed and Dated",121.5,152,18468,"2015","Oil / Canvas","228","4/4/16","0"
"2476","Jayson Oliveria","(I) WHERE DID YOU PUT THE BRUSH, WHERE DID YOU PUT THE PAINT (II) UNTITLED I (PALM)",4192,1,2580,3870,NA,NA,NA,NA,"2007","Oil / Canvas","230","4/4/16","0"
"2477","Mariam Sofrina","BAWAH PASOPATI DAGO (UNDERNEATH PASOPATI DAGO)",6770,1,3225,4515,"Signed and Dated",85,140,11900,"2010","Oil / Canvas","231","4/4/16","0"
"2478","Hanna Pettyjohn","HCP: IL",5160,1,3870,6450,NA,182.5,243.5,44438.75,"2010","Oil / Canvas","232","4/4/16","0"
"2479","M Irfan","NEVER GO BACK, TRUST THE RULES",24190,1,19350,32250,"Signed and Dated",200,300,60000,"2015","Acrylic / Canvas","235","4/4/16","0"
"2480","Bernardo Pacquing","BRUNELLESCHI'S DOME",9680,1,3870,6450,NA,203,274,55622,"2010","Oil / Canvas","236","4/4/16","0"
"2481","Marina Cruz","DEEP RED FLOWERS",67730,1,12900,19350,"Signed and Dated",165,152.5,25162.5,"2015","Oil / Canvas","237","4/4/16","0"
"2482","Vu Cao Dam","LE RENDEZ-VOUS (THE MEETING)",32250,1,10320,19350,"Signed and Dated",59,49,2891,"1961","Oil / Canvas","239","4/4/16","0"
"2483","Vu Cao Dam","LE COQ (ROOSTER)",41930,1,9030,11610,"Signed and Dated",65,54,3510,"1959","Oil / Canvas","240","4/4/16","0"
"2484","Henri Mege","PAYSAGE DE SAVOIE (LANDSCAPE OF SAVOIE)",NA,0,3870,6450,"Signed",25,60.5,1512.5,NA,"Oil / Wood","247","4/4/16","0"
"2485","Henri Mege","EVENING ON THE RIVER OF PERFUMES AT HUE",6450,1,5160,6450,"Signed",26,62,1612,"c. 1930","Oil / Panel","248","4/4/16","0"
"2486","Le Pho","APR?S LE D?JEUNER (AFTER THE LUNCH)",27410,1,15480,23220,"Signed",79,53,4187,NA,"Oil / Silk","249","4/4/16","0"
"2487","Henri Mege","(I) NEAR THE RIVER (II) MOUNG COUNTRY LANDSCAPE (2)",NA,0,2580,3870,"Signed",NA,NA,NA,"c. 1940","Oil","250","4/4/16","0"
"2488","Henri Mege","(I) MATIN?E DANS UN PETIT VILLAGE D¡¯ANNAM AUX BORDS DE HU? (MORNING IN A LITTLE VILLAGE OF ANNAM ON THE RIVER BANKS OF HU?) (II) MATIN SUR LA LAGUNE DE CAU HAI, HU? (MORNING IN THE LAGOON OF CAU HAI, HU?)",NA,0,3870,6450,"Signed",NA,NA,NA,NA,"Oil / Panel","251","4/4/16","0"
"2489","Maurice Menardeau","SCENE DE PORT DANS LE SUD DE LA CHINE (BOAT QUAY SCENE IN SOUTH OF CHINA)",NA,0,5160,7740,"Signed",50,65,3250,NA,"Oil / Cardboard","254","4/4/16","0"
"2490","Henri Mege","SOIR SUR LA BAIE DE SANARY-SUR-MER, ? BANDOL (EVENING ON THE BAY OF SANARY-SUR-MER, BANDOL)",NA,0,3870,6450,"Signed",38.5,55,2117.5,"1960","Oil / Wood","255","4/4/16","0"
"2491","Henri ?mile Vollet","TWILIGHT AT THE RIVER IN TOURANE",12900,1,10320,12900,"Inscribed and Signed",57,40,2280,"1906","Oil / Wood","256","4/4/16","0"
"2492","Henri Mege","LE LAC DU BOURGET (THE LAKE OF BOURGET)",NA,0,3870,5160,"Inscribed and Signed",50,60,3000,"c. 1950","Oil / Wood","257","4/4/16","0"
"2493","Le Pho","RED TULIP",32250,1,15480,23220,"Signed",92,60,5520,NA,"Oil / Silk","260","4/4/16","0"
"2494","Le Pho","YELLOW ROSES",35480,1,15480,23220,"Signed",93,61,5673,NA,"Oil / Silk","261","4/4/16","0"
"2495","Le Pho","VASE DE FLEURS (VASE OF FLOWERS)",48380,1,19350,25800,"Signed",90,116,10440,NA,"Oil / Canvas","262","4/4/16","0"
"2496","Vu Cao Dam","LE R?VE (THE DREAM)",20960,1,9030,11610,"Signed and Dated",40.5,33,1336.5,"1973","Oil / Canvas","263","4/4/16","0"
"2497","Dinh Minh","A LANDSCAPE WITH DEER",4031,1,3870,6450,"Signed",42.5,50,2125,"1955","Lacquer / Wood","267","4/4/16","0"
"2498","Henri Mege","FLEURS (FLOWERS)",4031,1,3870,6450,"Signed and Titled",41,33,1353,"1980","Oil / Wood","269","4/4/16","0"
"2499","Rene Bassouls","UNE PROCESSION EN INDOCHINE (A PROCESSION IN INDOCHINA)",NA,0,6450,9030,"Signed and Dated",73,144,10512,"1927","Oil / Canvas","273","4/4/16","0"
"2500","Antoine Ponchin","INTERIOR YARD SCENE AT THE IMPERIAL CITY OF HUE",9680,1,7740,10320,"Signed",65,54,3510,NA,"Oil / Canvas","274","4/4/16","0"
"2501","Evariste Jonchere","PETITE PRINCESSE AU MARCHE DE LUANG PRABANG, LAOS (LITTLE PRINCESS AT THE LUANG PRABANG MARKET, LAOS)",17740,1,10320,12900,"Signed",34,27.5,935,"1933","Oil / Wood","275","4/4/16","0"
"2502","Tay Bak Koi","RETURNING",NA,0,5160,7740,"Signed",29,29,841,NA,"Acrylic and gouache / Paper","278","4/4/16","0"
"2503","Soo Pieng Cheong","SARAWAK GIRLS",137060,1,51600,77400,"Signed",77,62,4774,"1977","Oil / Canvas","284","4/4/16","0"
"2504","Soo Pieng Cheong","ST. PAUL'S CHURCH",80630,1,58050,96750,"Signed",81,99,8019,NA,"Oil / Canvas","285","4/4/16","0"
"2505","Keen Wong","AWAKENING GARDEN (FOUR WORKS)",NA,0,5160,7740,"Signed",NA,NA,NA,NA,"Acrylic / Canvas","286","4/4/16","0"
"2506","Keen Wong","ORANGE NUDE",NA,0,7740,11610,NA,178,105,18690,NA,"Acrylic / Canvas","288","4/4/16","0"
"2507","Yee Sun","(I) TRADITIONAL ARCHITECTURE (II) CHINESE OPERA",NA,0,9030,11610,NA,NA,NA,NA,NA,"Oil / Canvas","289","4/4/16","0"
"2508","Tay Bak Koi","DOOR DEITIES",77400,1,25800,38700,"Signed",97.5,118,11505,NA,"Oil / Canvas","291","4/4/16","0"
"2509","Wenxi Chen","SAWMILL",96750,1,64500,90300,NA,61,75,4575,"c. 1960's","Oil / Masonite","292","4/4/16","0"
"2510","Romeo Villalva Tabuena","MAN WITH COCKEREL",8060,1,7740,10320,"Signed and Dated",86,67,5762,"1965","Acrylic / Board","300","4/4/16","0"
"2511","Romeo Villalva Tabuena","VENDORS",11290,1,9030,11610,"Signed",95.5,66,6303,"1958","Acrylic / Masonite","301","4/4/16","0"
"2512","Kim Seng Ong","BALI",35480,1,28380,45150,"Inscribed and Signed",100,150,15000,"1995","Oil / Canvas","302","4/4/16","0"
"2513","Romeo Villalva Tabuena","BUTTERFLY NET",NA,0,9030,11610,"Signed and Dated",50,95,4750,"1969","Acrylic / Canvas","303","4/4/16","0"
"2514","Romeo Villalva Tabuena","BALLOON VENDOR",13710,1,7740,11610,"Signed and Dated",65,80,5200,"1970","Acrylic / Canvas","304","4/4/16","0"
