artist,title,online_dummy,sales_dollar,dummy_sold,low_estimate_dollar,high_estimate_dollar,signed,size_cm,edition,foundry,created,category,Medium,auction_lot,auction_date,auction_location
Walasse Ting,THREE LADIES,0,56000,1,44800,70400,Stamped,184.00cm x 123.00cm,,,,Paintings,Acrylic / Paper,5078,10/1/17,Sotheby's Hong Kong
Yen-Yung Ting,HAPPY AND HARMONIOUS,0,7680,1,3840,6400,Signed,35.50cm x 42.00cm,,,c. 1970s,Works on Paper,Watercolor and ink / Paper,5079,10/1/17,Sotheby's Hong Kong
Yen-Yung Ting,AMARANTH,0,7200,1,3840,6400,Signed and Dated,44.00cm x 34.50cm,,,1971,Works on Paper,Watercolor and ink / Paper,5080,10/1/17,Sotheby's Hong Kong
Yen-Yung Ting,MYNAHS ON PINE TREE,0,19200,1,15360,28160,Signed,137.50cm x 69.00cm,,,,Works on Paper,Ink / Paper,5081,10/1/17,Sotheby's Hong Kong
Yen-Yung Ting,MAGNOLIA AND QUAILS,0,11200,1,8960,12800,Inscribed and Signed,145.00cm x 34.50cm,,,c. 1970s,Works on Paper,Ink / Paper,5082,10/1/17,Sotheby's Hong Kong
De-Jinn Shiy,SHIMENDING,0,160000,1,102400,153600,Signed and Dated,61.50cm x 61.50cm,,,1967,Paintings,Oil / Canvas,5083,10/1/17,Sotheby's Hong Kong
Pang Jiun,YANGSHUO,0,51200,1,19200,25600,Signed and Titled,50.50cm x 74.00cm,,,1978,Paintings,Oil / Board,5084,10/1/17,Sotheby's Hong Kong
Pang Jiun,GU LANGYU,0,136000,1,102400,153600,Signed and Dated,130.00cm x 162.00cm,,,2017,Paintings,Oil / Canvas,5085,10/1/17,Sotheby's Hong Kong
Shih Chiao Li,ROSES,0,56000,1,44800,70400,Signed and Dated,53.00cm x 45.50cm,,,1987,Paintings,Oil / Canvas,5086,10/1/17,Sotheby's Hong Kong
Hon Hee,JUNK BOAT MUSICIAN,0,12800,1,10240,15360,Signed,71.00cm x 55.00cm,,,,Paintings,Oil / Canvas on board,5087,10/1/17,Sotheby's Hong Kong
Guanzhong Wu,FLOWER RIVER IN GUIZHOU,0,136000,1,64000,102400,Signed and Dated,38.00cm x 26.00cm,,,1972,Works on Paper,Watercolor / Paper,5088,10/1/17,Sotheby's Hong Kong
Wou-Ki Zao,UNTITLED,0,256000,1,115200,153600,Signed and Dated,50.00cm x 65.00cm,,,1963,Works on Paper,Watercolor / Paper,5089,10/1/17,Sotheby's Hong Kong
Teh-Chun Chu,BRU 05 N 16,0,56000,1,40960,70400,Signed and Dated,70.00cm x 68.00cm,,,2005,Works on Paper,Ink and gouache / Paper,5090,10/1/17,Sotheby's Hong Kong
Teh-Chun Chu,CAMOY NO. 7,0,,0,15360,23040,Signed and Dated,34.00cm x 46.00cm,,,1996,Works on Paper,Ink / Paper,5091,10/1/17,Sotheby's Hong Kong
Yatsai Chiu,IDIOT,0,38400,1,30720,44800,Signed,163.00cm x 131.50cm,,,1995,Paintings,Oil / Canvas,5092,10/1/17,Sotheby's Hong Kong
Yatsai Chiu,NUDE MAN,0,,0,51200,76800,Signed and Titled,131.50cm x 98.00cm,,,1997,Paintings,Oil / Canvas,5093,10/1/17,Sotheby's Hong Kong
Yatsai Chiu,YOUNG MAN IN THE NIGHT,0,,0,38400,64000,Signed and Titled,131.50cm x 98.00cm,,,1995,Paintings,Oil / Canvas,5094,10/1/17,Sotheby's Hong Kong
Chin-San Long,LANDSCAPE AND PAVILLION,0,9600,1,7680,15360,Inscribed and Signed,55.50cm x 77.50cm,,,1986,Works on Paper,Ink and print / Paper,5095,10/1/17,Sotheby's Hong Kong
Jangeng Wang,UNTITLED,0,,0,1280,2560,Signed and Dated,44.00cm x 76.00cm,,,1963,Paintings,Oil / Canvas,5096,10/1/17,Sotheby's Hong Kong
Yiming Chen,WATERSCAPE,0,,0,19200,25600,Signed,61.50cm x 92.50cm,,,,Paintings,Oil / Canvas,5097,10/1/17,Sotheby's Hong Kong
Sadamasa Motonaga,WORK,0,30400,1,19200,32000,Signed and Titled,18.00cm x 14.10cm,,,1963,Mixed Media,Oil and synthetic resin and gravel / Canvas,601,10/1/17,Sotheby's Hong Kong
Tsuyoshi Maekawa,UNTITLED,0,48000,1,23040,28160,Signed and Dated,98.50cm x 79.00cm,,,1964,Mixed Media,Oil and mixed media / Canvas,602,10/1/17,Sotheby's Hong Kong
Shozo Shimamoto,LUCKY STAR,0,256000,1,64000,102400,Signed and Dated,40.90cm x 31.50cm,,,1965,Paintings,Oil / Canvas,603,10/1/17,Sotheby's Hong Kong
Yuko Nasaka,537-2,0,136000,1,51200,64000,,120.30cm x 80.00cm,,,1962,Paintings,Resin and lacquer / Canvas on board,604,10/1/17,Sotheby's Hong Kong
Chiyu Uemae,UNTITLED,0,56000,1,44800,57600,Signed and Dated,168.00cm x 137.50cm,,,1972,Paintings,Oil / Canvas,605,10/1/17,Sotheby's Hong Kong
Waichi Tsutaka,UNTITLED,0,35200,1,28160,40960,Signed and Dated,95.30cm x 157.50cm,,,1960,Paintings,Oil / Canvas,606,10/1/17,Sotheby's Hong Kong
Waichi Tsutaka,UNTITLED,0,48000,1,15360,28160,Signed and Dated,97.00cm x 145.00cm,,,1970,Paintings,Oil / Canvas,607,10/1/17,Sotheby's Hong Kong
Waichi Tsutaka,UNTITLED,0,7200,1,2560,5120,Signed,25.40cm x 15.20cm,,,,Paintings,Oil / Canvas,608,10/1/17,Sotheby's Hong Kong
Takeo Yamaguchi,UNTITLED,0,4480,1,2560,3840,Stamped,75.00cm x 56.00cm,,,c. 1970,Works on Paper,Watercolor / Paper,609,10/1/17,Sotheby's Hong Kong
Takeo Yamaguchi,GAI - END OF THE EDGE,0,88000,1,70400,96000,Signed and Titled,91.70cm x 91.70cm,,,1982,Paintings,Oil / Board,610,10/1/17,Sotheby's Hong Kong
Sam Lewis Francis,UNTITLED,0,,0,460800,588800,Signed,182.90cm x 122.00cm,,,1988,Paintings,Acrylic / Canvas,611,10/1/17,Sotheby's Hong Kong
Sanghwa Chung,UNTITLED 84-8-16,0,176000,1,153600,230400,Signed and Titled,67.60cm x 68.00cm,,,1984,Paintings,Acrylic / Canvas,612,10/1/17,Sotheby's Hong Kong
Ufan Lee,FROM WINDS,0,208000,1,128000,192000,Signed and Dated,91.10cm x 72.70cm,,,1987,Paintings,Oil and mineral pigment / Canvas,613,10/1/17,Sotheby's Hong Kong
Yuichi Inoue,HANA - FLOWER,0,30400,1,19200,32000,Stamped,91.30cm x 107.30cm,,,1967,Works on Paper,Ink / Paper,614,10/1/17,Sotheby's Hong Kong
Sanghwa Chung,UNTITLED 79-P.1,0,28800,1,23040,35840,Signed and Dated,123.40cm x 90.10cm,,,1979,Paintings,frottage / Canvas,615,10/1/17,Sotheby's Hong Kong
Sanghwa Chung,FROTTAGE P.6,0,32000,1,23040,35840,Signed and Dated,128.80cm x 96.30cm,,,1978,Mixed Media,frottage on paper collage / Canvas,616,10/1/17,Sotheby's Hong Kong
Sanghwa Chung,FROTTAGE + SKETCH P.8,0,24000,1,19200,23040,Signed and Dated,87.90cm x 85.60cm,,,1978,Paintings,frottage / Canvas,617,10/1/17,Sotheby's Hong Kong
Kwang Young Chun,AGGREGATION 04-MA029,0,67200,1,25600,38400,Signed and Titled,163.00cm x 228.20cm,,,2004,Mixed Media,Mixed Media / Paper,618,10/1/17,Sotheby's Hong Kong
Damien Hirst,"BEAUTIFUL OASIS IN A DESERTED EXPANSE, DRINK UP THE BEAUTY BEFORE IT’S TOO LATE PAINTING",0,,0,217600,307200,Signed,122.50cm x 122.50cm,,,2007,Paintings,household gloss / Canvas,619,10/1/17,Sotheby's Hong Kong
Yu Youhan,1991-8,0,224000,1,179200,230400,Signed and Dated,92.00cm x 116.00cm,,,1991,Paintings,Acrylic / Canvas,620,10/1/17,Sotheby's Hong Kong
Shan Li,EXTENSIONS NO.1,0,80000,1,64000,89600,Signed and Dated,120.50cm x 57.50cm,,,1984,Paintings,Oil / Canvas,621,10/1/17,Sotheby's Hong Kong
Sol LeWitt,LOOPY DOOPY (THREE WORKS),0,,0,19200,33280,Signed and Dated,,,,1999,Works on Paper,Gouache / Paper,622,10/1/17,Sotheby's Hong Kong
Guangle Wang,TERRAZZO,0,72000,1,38400,64000,Signed and Dated,50.00cm x 49.80cm,,,2002,Paintings,Oil / Canvas,623,10/1/17,Sotheby's Hong Kong
Enli Zhang,FRUIT DISH,0,,0,51200,64000,Signed and Dated,99.50cm x 108.50cm,,,2009,Paintings,Oil / Canvas,624,10/1/17,Sotheby's Hong Kong
Molin Xie,LAND 1,0,,0,19200,32000,Signed and Titled,120.00cm x 120.00cm,,,2012,Paintings,Acrylic / Canvas,625,10/1/17,Sotheby's Hong Kong
Zhen Xu,UNDER HEAVEN-3233GK0416,0,48000,1,38400,64000,Signed and Dated,90.00cm x 120.00cm,,,2014,Paintings,Oil / Canvas on board,626,10/1/17,Sotheby's Hong Kong
Yao Zhao,A PAINTING OF THOUGHT III-250,0,44800,1,12800,19200,Signed and Titled,135.00cm x 160.00cm,,,2012,Paintings,Acrylic on found fabric / Canvas,627,10/1/17,Sotheby's Hong Kong
Zhen Xu,UNDER HEAVEN - 3228ZZ3151,0,11200,1,8960,11520,Signed,30.00cm x 20.00cm,,,2014,Paintings,Oil on canvas mounted on aluminum board,628,10/1/17,Sotheby's Hong Kong
Daniel Richter,OOA2,0,240000,1,192000,307200,Signed and Titled,200.50cm x 271.00cm,,,2011,Paintings,Oil / Canvas,629,10/1/17,Sotheby's Hong Kong
Aili Jia,UNTITLED,0,35200,1,19200,25600,Signed and Dated,20.00cm x 30.00cm,,,2009,Paintings,Oil / Canvas,630,10/1/17,Sotheby's Hong Kong
Jia Wei,ILLUMINATE THE DARK NIGHT NO. 4,0,,0,70400,96000,Signed and Dated,200.00cm x 300.00cm,,,2007,Paintings,Acrylic / Canvas,631,10/1/17,Sotheby's Hong Kong
Qi Qin,UNTITLED,0,20800,1,12800,19200,Signed and Dated,100.00cm x 100.00cm,,,2013,Paintings,Oil / Canvas,632,10/1/17,Sotheby's Hong Kong
Qi Qin,GREENHOUSE,0,38400,1,30720,46080,Signed and Dated,153.00cm x 251.00cm,,,2011,Paintings,Oil / Canvas,633,10/1/17,Sotheby's Hong Kong
Yuanyuan Song,UNTITLED,0,,0,12800,19200,Signed Initials,105.00cm x 162.00cm,,,2013,Paintings,Oil / Canvas,634,10/1/17,Sotheby's Hong Kong
Jian Zhang,SQUARE,0,24000,1,19200,32000,Signed and Dated,200.00cm x 300.00cm,,,2005,Paintings,Oil / Canvas,635,10/1/17,Sotheby's Hong Kong
Shihua Qiu,UNTITLED,0,35200,1,19200,30720,,109.00cm x 176.00cm,,,2001,Paintings,Oil / Canvas,636,10/1/17,Sotheby's Hong Kong
Chen Hui,UNTITLED,0,,0,3840,5120,,143.00cm x 131.00cm,,,,Paintings,Oil / Canvas,637,10/1/17,Sotheby's Hong Kong
Ji Kai Li,RIPRAP,0,2560,1,3840,6400,Signed and Dated,60.00cm x 80.00cm,,,2007,Paintings,Acrylic / Canvas,638,10/1/17,Sotheby's Hong Kong
Chunya Zhou,RED ROCK,0,256000,1,204800,320000,Signed and Dated,114.00cm x 89.50cm,,,1999,Paintings,Oil / Canvas,639,10/1/17,Sotheby's Hong Kong
Wei Liu,SHAMELESS,0,,0,128000,192000,Signed and Dated,119.90cm x 100.20cm,,,2001,Paintings,Oil / Canvas,640,10/1/17,Sotheby's Hong Kong
Liu Ye,DOLL,0,44800,1,35840,44800,Signed and Dated,24.00cm x 24.00cm,,,1991,Paintings,Oil and acrylic / Canvas,641,10/1/17,Sotheby's Hong Kong
Liu Ye,THE LAST TEMPTER,0,,0,102400,192000,Signed and Dated,30.50cm x 40.20cm,,,2006,Paintings,Acrylic / Canvas,642,10/1/17,Sotheby's Hong Kong
Barry Flanagan,ACROBATS,0,381440,1,230400,320000,Stamped,145.00cm x 43.00cm x 43.00cm,3-Mar,,2003,Sculptures,Bronze,643,10/1/17,Sotheby's Hong Kong
Fernando Botero,HORSE,0,,0,486400,614400,Inscribed and Signed,92.00cm x 91.00cm x 50.00cm,1 of 6,,2006-2012,Sculptures,Bronze,644,10/1/17,Sotheby's Hong Kong
Tony Cragg,THE FANATICS,0,,0,307200,384000,Stamped,345.00cm x 80.00cm x 80.00cm,,,2006,Sculptures,Steel,645,10/1/17,Sotheby's Hong Kong
Fanzhi Zeng,UNTITLED,0,,0,486400,576000,Signed and Dated,219.50cm x 145.00cm,,,2002,Paintings,Oil / Canvas,646,10/1/17,Sotheby's Hong Kong
Wei Liu,SWIMMING NO. 2,0,,0,512000,640000,Signed and Dated,100.60cm x 100.60cm,,,1996,Paintings,Oil / Canvas,647,10/1/17,Sotheby's Hong Kong
Wei Liu,SWIMMING,0,,0,409600,563200,Signed and Dated,49.50cm x 61.00cm,,,1993,Paintings,Oil / Canvas,648,10/1/17,Sotheby's Hong Kong
Manolo Valdés,RETRATO CON FONDO NARANJA,0,288000,1,230400,358400,Signed and Titled,222.30cm x 166.40cm,,,2007,Paintings,Oil / Burlap,649,10/1/17,Sotheby's Hong Kong
Chunya Zhou,PEACH BLOSSOMS SERIES 2006: BLUE SKY,0,734720,1,320000,448000,Signed and Dated,250.00cm x 200.00cm,,,2006,Paintings,Oil / Canvas,650,10/1/17,Sotheby's Hong Kong
Xuhui Mao,IMAGE OF PATERNALISM WITH BROWN DOOR,0,,0,102400,153600,Signed and Dated,120.00cm x 90.00cm,,,1990,Paintings,Oil / Canvas,651,10/1/17,Sotheby's Hong Kong
Yongqing Ye,WHO WILL PLAY AUTUMN'S TUNE?,0,,0,28160,38400,Signed and Dated,78.80cm x 91.70cm,,,1986,Paintings,Oil / Canvas,652,10/1/17,Sotheby's Hong Kong
Xinping Su,EXPRESSION NO. 1,0,19200,1,5120,7680,Signed and Dated,162.00cm x 130.00cm,,,1998,Paintings,Oil / Canvas,653,10/1/17,Sotheby's Hong Kong
Qiu JiongJiong,ZHONG KUI,0,5600,1,4480,5760,Signed and Dated,111.70cm x 111.60cm,,,2010,Works on Paper,Ink / Paper,654,10/1/17,Sotheby's Hong Kong
Minjun Yue,UNTITLED,0,240000,1,179200,230400,Signed and Dated,120.00cm x 140.00cm,,,2001,Paintings,Oil / Canvas,655,10/1/17,Sotheby's Hong Kong
Fang Lijun,2004.5.3,0,192000,1,153600,230400,Signed,180.00cm x 80.00cm,,,,Paintings,Acrylic / Canvas,656,10/1/17,Sotheby's Hong Kong
Shan Li,ROUGE SERIES,0,16000,1,10240,15360,Signed and Dated,55.00cm x 44.50cm,,,2005,Mixed Media,Acrylic and collage / Canvas,659,10/1/17,Sotheby's Hong Kong
Shan Li,THE SEVENTH DAY OF EVERY WEEK SERIES,0,9600,1,3840,6400,Signed and Dated,32.60cm x 36.60cm,,,1994,Mixed Media,Acrylic and collage / Canvas,660,10/1/17,Sotheby's Hong Kong
Zhigang Tang,THE ERA OF CHILDREN,0,80000,1,64000,89600,Signed and Dated,131.00cm x 162.00cm,,,2004,Paintings,Oil / Canvas,661,10/1/17,Sotheby's Hong Kong
Chen Li,PURE LAND,0,184000,1,64000,89600,Inscribed,73.00cm x 125.00cm x 23.00cm,8-Apr,,1998,Sculptures,Bronze,662,10/1/17,Sotheby's Hong Kong
Zhigang Tang,CHILDREN IN MEETING SERIES,0,,0,64000,76800,Signed and Dated,130.00cm x 161.60cm,,,1999,Paintings,Oil / Canvas,663,10/1/17,Sotheby's Hong Kong
Guangle Wang,120605,0,304000,1,192000,320000,Signed and Dated,280.00cm x 180.00cm,,,2012,Paintings,Acrylic / Canvas,664,10/1/17,Sotheby's Hong Kong
Weiwei Ai,COLOURED VASES (NINE WORKS),0,144000,1,128000,192000,,,,,2006,Paintings,Ceramic,665,10/1/17,Sotheby's Hong Kong
Xiuzhen & Dong Yin & Song,"(I) IF YOU SEE SOMETHING, SAY SOMETHING (II) IF YOU DON'T SEE ANYTHING, DON'T SAY ANYTHING",0,30400,1,17920,25600,Signed and Titled,,,,,Paintings,Oil / Canvas,666,10/1/17,Sotheby's Hong Kong
Lin Tianmiao,SEEING SHADOW NO. 11,0,38400,1,30720,40960,Signed and Titled,144.00cm x 284.20cm,,,2006,Mixed Media,photo print and thread / Canvas,667,10/1/17,Sotheby's Hong Kong
Shanzhuan Wu,TODAY NO WATER,0,57600,1,35840,44800,Signed and Dated,199.00cm x 298.00cm,,,2006,Paintings,Oil / Canvas,668,10/1/17,Sotheby's Hong Kong
Guogu Zheng,COMPUTER IS CONTROLLED BY PIG'S BRAIN NO. 63,0,15200,1,15360,23040,Signed and Titled,199.50cm x 300.00cm,,,2006,Paintings,Oil / Canvas,669,10/1/17,Sotheby's Hong Kong
Shanzhuan Wu,TODAY NO WATER #6 - TOOTHPASTE,0,38400,1,12800,19200,,140.00cm x 100.20cm,,,2001,Paintings,Oil / Canvas,670,10/1/17,Sotheby's Hong Kong
Chen Shen,UNTITLED NO. 12447-12 (TRIPTYCH),0,24000,1,19200,32000,Signed and Titled,,,,2012,Paintings,Acrylic / Canvas,671,10/1/17,Sotheby's Hong Kong
Guogu Zheng,THE CHAT GOD OF MILLENNIUM 19A & 19B (SET OF TWO),0,16000,1,25600,38400,Signed and Dated,,,,2002,Paintings,Oil on photo print paper / Silk,673,10/1/17,Sotheby's Hong Kong
Cindy Ng Sio Ieng,INK WALK 012010,0,,0,1024,1536,Inscribed,,5-Jan,,2010,Other,"one DVD, one Betacam tape and print in original box",676,10/1/17,Sotheby's Hong Kong
Zhou Xiaohu,FLOATER - 4A & 4B (DIPTYCH),0,,0,1280,1920,Signed and Titled,,,,2005,Paintings,Oil / Canvas,677,10/1/17,Sotheby's Hong Kong
Lee Kit,HAND PAINTED CLOTH USED WITH FRIENDS IN GATHERING (SET OF FOUR),0,24000,1,15360,19200,,,,,2009,Paintings,Acrylic on fabric and photo document,678,10/1/17,Sotheby's Hong Kong
Lee Kit,UNTITLED (PINK),0,22400,1,7680,10240,Signed and Dated,87.00cm x 158.00cm,,,2002,Paintings,Acrylic / Canvas,679,10/1/17,Sotheby's Hong Kong
Wilson Ka-Ho Shieh,HONG KONG ART IN A MOMENT,0,8000,1,6400,10240,Signed and Titled,75.50cm x 59.50cm,,,2012,Paintings,Acrylic / Canvas on board,680,10/1/17,Sotheby's Hong Kong
Chui Mei Tsang,IN FULL BEARING,0,4800,1,3840,5120,Signed and Dated,78.80cm x 122.00cm,,,2011,Paintings,Acrylic / Canvas,681,10/1/17,Sotheby's Hong Kong
Chun Fai Chow,BODYGUARDS AND ASSASSINS (QUADRIPTYCH),0,35200,1,38400,64000,Signed and Dated,,,,2011,Paintings,Enamel / Canvas,682,10/1/17,Sotheby's Hong Kong
Tsou Choi Tsang,CALLIGRAPHY,0,17600,1,12800,19200,,50.30cm x 75.50cm,,,1997,Paintings,Oil and photo document / Board,683,10/1/17,Sotheby's Hong Kong
Wenda Gu,EXCLAMATORY WORD AND BOUND HUMAN INNARDS SERIES: XU! XU! XU! (TRIPTYCH),0,,0,409600,512000,Signed and Dated,,,,1986,Paintings,Oil / Canvas,685,10/1/17,Sotheby's Hong Kong
Jiecang Yang,THOUSAND LAYERS OF INK,0,19200,1,15360,23040,Signed and Dated,95.40cm x 175.00cm,,,1994,Works on Paper,Ink and acrylic and paper / Canvas on board,686,10/1/17,Sotheby's Hong Kong
Qiu Zhijie,DICTIONARY SERIES,0,12800,1,7680,10240,Stamped,235.00cm x 91.50cm,,,2001,Works on Paper,Ink / Paper,687,10/1/17,Sotheby's Hong Kong
Weiwei Ai,BOWL OF PEARLS,0,,0,102400,140800,,43.00cm x 100.00cm x 100.00cm,,,2010,Sculptures,Porcelain and freshwater pearls,688,10/1/17,Sotheby's Hong Kong
Tiehai Zhou,YOUNG WOMAN WITH A CHILD,0,12000,1,5120,7680,Signed and Dated,120.00cm x 95.00cm,,,2006,Paintings,Oil / Canvas,689,10/1/17,Sotheby's Hong Kong
Tiehai Zhou,AUTUMN WATER'S RIPPLING,0,,0,7680,12800,,198.00cm x 118.00cm,,,2000,Paintings,Acrylic and airbrush / Canvas,690,10/1/17,Sotheby's Hong Kong
KAWS,YELLOW DOORWAY,0,488960,1,192000,332800,Signed and Titled,122.50cm x 173.00cm,,,2001,Paintings,Acrylic / Canvas,691,10/1/17,Sotheby's Hong Kong
Andy Warhol,CAMPBELL'S ONION SOUP BOX,0,,0,179200,256000,Signed and Dated,35.00cm x 35.00cm,,,1986,Mixed Media,Acrylic and silk screen / Canvas,692,10/1/17,Sotheby's Hong Kong
Andy Warhol,DIAMOND DUST RED SHOE,0,160000,1,102400,153600,Signed and Dated,45.70cm x 35.50cm,,,1980,Paintings,Acrylic and silkscreen ink with diamond dust / Canvas,693,10/1/17,Sotheby's Hong Kong
Yoshitomo Nara,KIDS PLAY SOMETHIN' ON YOUR HEAD,0,124800,1,51200,76800,Signed and Dated,54.00cm x 24.10cm,,,2009,Works on Paper,Colored Pencil / Cardboard,694,10/1/17,Sotheby's Hong Kong
Yoshitomo Nara,UNTITLED (SCHÜLE IST NICHT MEHR KLASSE),0,48000,1,19200,25600,Signed and Dated,11.00cm x 22.00cm,,,2004,Works on Paper,Colored Pencil and pencil on envelope,695,10/1/17,Sotheby's Hong Kong
Yoshitomo Nara,UNTITLED,0,24000,1,19200,32000,,16.00cm x 25.00cm,,,1994,Mixed Media,Acrylic and pen and colored pencil on envelope,696,10/1/17,Sotheby's Hong Kong
Yoshitomo Nara,UNTITLED,0,,0,19200,32000,,21.00cm x 14.70cm,,,1992,Works on Paper,Crayon / Paper,697,10/1/17,Sotheby's Hong Kong
Yoshitomo Nara,MELTING MOON,0,488960,1,358400,448000,,180.30cm x 180.30cm,,,2003,Mixed Media,Urethane on FRP,698,10/1/17,Sotheby's Hong Kong
Tatsuo Miyajima,TIME IN BLUE NO. 15,0,16000,1,12800,19200,,116.80cm x 51.00cm x 8.50cm,,,1996,Sculptures,"blue LED, IC, electrical wire and transformer on panel",699,10/1/17,Sotheby's Hong Kong
Tracey Emin,THIS IS ANOTHER PLACE,0,,0,61440,76800,,33.00cm x 201.00cm x 48.00cm,1 of 3,,2007,Sculptures,neon,700,10/1/17,Sotheby's Hong Kong
Kohei Nawa,PIXCELL - BECKONING CAT,0,,0,51200,76800,,30.00cm x 24.50cm x 24.50cm,,,2015,Mixed Media,Mixed Media,701,10/1/17,Sotheby's Hong Kong
Niki de Saint Phalle,YIN YANG (2),0,51200,1,30720,38400,Stamped,,,,1982,Sculptures,Resin,702,10/1/17,Sotheby's Hong Kong
Iwamoto Masakatsu,MAMI MART,0,64000,1,44800,64000,Signed and Dated,117.00cm x 73.00cm,,,2008,Paintings,Acrylic / Canvas,704,10/1/17,Sotheby's Hong Kong
Izumi Kato,UNTITLED,0,28800,1,12800,19200,Signed and Dated,121.50cm x 27.50cm x 27.50cm,,,2007,Sculptures,"Acrylic and charcoal on wood, silicon and wooden chair",705,10/1/17,Sotheby's Hong Kong
Yu Yasuda,UNTITLED,0,6400,1,3840,6400,Signed and Titled,112.00cm x 145.50cm,,,,Paintings,Oil / Canvas,707,10/1/17,Sotheby's Hong Kong
Yayoi Kusama,PUMPKIN,0,366080,1,102400,153600,Signed and Titled,22.00cm x 27.30cm,,,2001,Paintings,Acrylic / Canvas,708,10/1/17,Sotheby's Hong Kong
Yayoi Kusama,PUMPKIN,0,224000,1,57600,83200,Signed and Titled,22.90cm x 16.00cm,,,1990,Paintings,Acrylic / Canvas,709,10/1/17,Sotheby's Hong Kong
Yayoi Kusama,UNTITLED,0,67200,1,15360,23040,Signed and Dated,6.00cm x 6.00cm x 6.50cm,,,1984,Mixed Media,Mixed Media,710,10/1/17,Sotheby's Hong Kong
Yayoi Kusama,UNTITLED,0,73600,1,19200,33280,Signed and Dated,8.50cm x 8.10cm x 8.80cm,,,1984,Mixed Media,Mixed Media,711,10/1/17,Sotheby's Hong Kong
Yayoi Kusama,HOLIDAY,0,350720,1,102400,153600,Signed and Dated,51.30cm x 65.20cm,,,1980,Paintings,Acrylic / Paperboard,712,10/1/17,Sotheby's Hong Kong
Yayoi Kusama,RED WAVE,0,412160,1,128000,192000,Signed and Titled,65.20cm x 53.00cm,,,,Paintings,Acrylic / Canvas,713,10/1/17,Sotheby's Hong Kong
Yayoi Kusama,CHRYSANTHEMUM,0,381440,1,192000,320000,Signed and Titled,45.60cm x 38.20cm,,,1989,Paintings,Acrylic / Canvas,714,10/1/17,Sotheby's Hong Kong
Yayoi Kusama,DOTS,0,427520,1,153600,204800,Signed and Titled,71.00cm x 60.80cm,,,1990,Paintings,Acrylic / Canvas,715,10/1/17,Sotheby's Hong Kong
Yayoi Kusama,INFINITY FLOWER PETALS (AAAB),0,565760,1,230400,320000,Signed and Titled,91.00cm x 116.70cm,,,2005,Paintings,Acrylic / Canvas,716,10/1/17,Sotheby's Hong Kong
Yayoi Kusama,HAT,0,144000,1,96000,121600,Signed and Titled,15.80cm x 22.70cm,,,1981,Paintings,Acrylic / Canvas,717,10/1/17,Sotheby's Hong Kong
Yayoi Kusama,RAINY MOUNTAINOUS COUNTRY,0,41600,1,6400,10240,Signed and Dated,27.00cm x 24.00cm,,,1979,Works on Paper,Ink and marker / Paperboard,718,10/1/17,Sotheby's Hong Kong
Futura 2000,FORENDO,0,4800,1,6400,10240,Signed and Titled,152.50cm x 152.50cm,,,2002,Mixed Media,Acrylic and spray paint and glued paper / Canvas,719,10/1/17,Sotheby's Hong Kong
KAWS,UNTITLED,0,8800,1,5120,7680,Signed and Dated,50.00cm x 50.00cm,Aug-50,,2006,Prints,screenprint and diamond dust / Paper,720,10/1/17,Sotheby's Hong Kong
Yoshitomo Nara,SLEEPLESS NIGHT SITTING,0,56000,1,8960,15360,Signed,29.00cm x 19.00cm x 15.00cm,274/300,,2007,Mixed Media,Mixed Media,724,10/1/17,Sotheby's Hong Kong
Yayoi Kusama,MORI GIRL,0,38400,1,7680,10240,Signed,29.00cm x 19.00cm x 15.00cm,132/200,,2012,Sculptures,Wood,729,10/1/17,Sotheby's Hong Kong
Takashi Murakami,MURAKAMI X COMPLEXCON MR. DOB (TWO WORKS),0,6080,1,2560,3840,,,,,2016,Works on Paper,PVC figures,730,10/1/17,Sotheby's Hong Kong
Shiryu Morita,RYU AND RAKU - DRAGON AND FALLING (TWO WORKS),0,51200,1,6400,10240,Artist's Seal,,,,c. 1960s,Works on Paper,Ink / Paper,801,10/1/17,Sotheby's Hong Kong
Shiryu Morita,EN - CIRCLE,0,16000,1,5120,7680,Signed and Titled,30.20cm x 42.60cm,,,1970,Works on Paper,Ink / Paper,802,10/1/17,Sotheby's Hong Kong
Shiryu Morita,USOBUKU - ROARING,0,22400,1,3840,6400,Signed and Titled,25.00cm x 36.50cm,,,1966,Works on Paper,Ink / Paper,803,10/1/17,Sotheby's Hong Kong
Shiryu Morita,RYU - DRAGON,0,152000,1,89600,115200,Signed and Titled,157.50cm x 79.40cm,,,1964,Paintings,Lacquer and aluminum flake pigment in glue medium / Paper,804,10/1/17,Sotheby's Hong Kong
Shiryu Morita,SO - WILDERNESS,0,350720,1,153600,281600,Signed and Titled,172.50cm x 95.50cm,,,1954,Works on Paper,Ink on paper / Wood,805,10/1/17,Sotheby's Hong Kong
Shiryu Morita,EKOH - ILLUMINATION,0,144000,1,51200,76800,Unavailable,151.80cm x 332.00cm,,,c. 1969,Works on Paper,Ink / Paper,806,10/1/17,Sotheby's Hong Kong
Shiryu Morita,JITTOKU - SHI-DE,0,19200,1,6400,10240,Artist's Seal,33.30cm x 41.10cm,,,c. 1963,Works on Paper,Ink / Paper,807,10/1/17,Sotheby's Hong Kong
